ת;צ;ע;ב;ך;ל;ה;א;ל;ר;ש;א;ש;י;א;ה;י;ר;ש;א;(27, 1, 1, 1, 1)
ד;מ;ע;א;ל;ם;י;א;ט;ח;ך;ר;ד;ב;ו;ם;י;ע;ש;ר;(27, 1, 1, 21, 21)
ב;ם;א;י;כ;ב;ש;י;א;ל;ם;י;צ;ל;ב;ש;ו;מ;ב;ו;(27, 1, 1, 41, 41)
י;ו;ת;ר;ו;ת;ב;ו;ו;צ;פ;ח;ה;ו;ה;י;ת;ר;ו;ת;(27, 1, 2, 6, 61)
ש;ץ;ע;כ;ה;י;ה;ו;ה;ל;י;ל;ו;ם;מ;ו;י;ה;ג;ה;(27, 1, 2, 26, 81)
י;ו;י;ר;פ;ר;ש;א;ם;י;מ;י;ג;ל;פ;ל;ע;ל;ו;ת;(27, 1, 3, 9, 101)
ל;כ;ו;ל;ו;ב;י;א;ל;ו;ה;ל;ע;ו;ו;ת;ע;ב;ן;ת;(27, 1, 3, 29, 121)
ע;ש;ר;ה;ן;כ;א;ל;ח;י;ל;צ;י;ה;ש;ע;י;ר;ש;א;(27, 1, 3, 49, 141)
ח;ו;ר;ו;נ;פ;ד;ת;ר;ש;א;ץ;מ;כ;ם;א;י;כ;ם;י;(27, 1, 4, 9, 161)
ט;פ;ש;מ;ב;ם;י;ע;ש;ר;ו;מ;ק;י;א;ל;ן;כ;ל;ע;(27, 1, 5, 1, 181)
ו;י;י;כ;ם;י;ק;י;ד;צ;ת;ד;ע;ב;ם;י;א;ט;ח;ו;(27, 1, 5, 21, 201)
ר;ך;ר;ד;ו;ם;י;ק;י;ד;צ;ך;ר;ד;ה;ו;ה;י;ע;ד;(27, 1, 6, 5, 221)
ו;ם;י;ו;ג;ו;ש;ג;ר;ה;מ;ל;ד;ב;א;ת;ם;י;ע;ש;(27, 1, 6, 25, 241)
ל;מ;ו;ב;צ;י;ת;י;ק;י;ר;ו;ג;ה;י;ם;י;מ;א;ל;(27, 2, 1, 13, 261)
ד;ח;י;ו;ד;ס;ו;נ;ם;י;נ;ז;ו;ר;ו;ץ;ר;א;י;כ;(27, 2, 2, 9, 281)
